region,n_channels,n_trials_like,n_trials_dislike,rating_col,like_value,dislike_value,like_ifr_base_mean_hz,like_ifr_resp_mean_hz,like_ifr_delta_mean_hz,dislike_ifr_base_mean_hz,dislike_ifr_resp_mean_hz,dislike_ifr_delta_mean_hz,delta_like_minus_dislike_hz
overall,64,1,1,rating_c2,45.0,12.0,0.7740074956580579,0.8312877113051758,0.05728021564711783,0.9703969071760242,1.0265887175781834,0.05619181040215915,0.001088405244958679
amygdala,32,1,1,rating_c2,45.0,12.0,1.3726605303613844,1.4083669387318247,0.03570640837044037,1.1377446287961497,1.5798902718812453,0.44214564308509563,-0.40643923471465526
hippocampus,32,1,1,rating_c2,45.0,12.0,0.1753544609547314,0.2542084838785266,0.07885402292379523,0.8030491855558988,0.4732871632751213,-0.32976202228077744,0.4086160452045727
