channel,region,phase,response_slope_hz_per_s,peak_time_s,peak_ifr_hz,early_mean_hz,late_mean_hz,early_late_diff_hz
0,hippocampus,like,0.12810197061255849,0.8150000000000012,0.9878857802374043,0.3370080430119062,0.4127282141307445,0.07572017111883833
1,hippocampus,like,-0.2305552780299682,0.5550000000000009,0.9306069961325381,0.4025070368741626,0.47969492699761895,0.07718789012345634
2,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
3,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
4,hippocampus,like,-0.27874295878697675,0.12500000000000056,0.4986978555496912,0.12423536293491091,5.674973274446212e-05,-0.12417861320216646
5,hippocampus,like,-1.236776834289332,0.2650000000000007,2.3409589257341015,1.312118284349167,0.7857393302851321,-0.5263789540640349
6,hippocampus,like,0.17452182749475537,0.5250000000000009,0.4986978555496912,0.07228918036545377,0.2114705609306292,0.13918138056517543
7,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
8,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
9,hippocampus,like,-0.522480902301533,0.15500000000000058,2.948066446500815,1.379223302253277,0.989761642182986,-0.3894616600702909
10,hippocampus,like,-0.22687936508014142,0.9950000000000013,2.201619321701725,1.1004974489735821,0.8744837242197177,-0.2260137247538645
11,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
12,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
13,hippocampus,like,0.3512522771973763,0.5150000000000009,2.2486620692832413,0.7258649384948989,0.8438893849294028,0.11802444643450394
14,hippocampus,like,1.445282059978627,0.9550000000000013,2.4314849646737033,0.3451298408648204,0.9405754283392271,0.5954455874744067
15,hippocampus,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
16,amygdala,like,2.4453020023118466,0.675000000000001,5.821369662731082,3.22691694734964,4.799892463841173,1.572975516491533
17,amygdala,like,0.12913129011178592,0.35500000000000076,1.3499020310770182,0.8463314273500278,0.8309968463442903,-0.01533458100573748
18,amygdala,like,1.001036525097696,0.7050000000000011,1.6184300526830637,0.4144436433402435,1.0564139293855257,0.6419702860452823
19,amygdala,like,-0.192391451690602,0.2850000000000007,3.0108243362570106,1.6244751608817167,1.654958477548339,0.030483316666622295
20,amygdala,like,0.2686287543368754,0.9550000000000013,0.4986978555496912,0.0,0.10204408954729839,0.10204408954729839
21,amygdala,like,0.6141288025059988,0.7350000000000011,1.9710263639197936,0.5128722703289114,1.0646392544385606,0.5517669841096492
22,amygdala,like,-0.18855772797397655,0.625000000000001,0.9787137403542764,0.5358556907560994,0.41000746399430243,-0.12584822676179697
23,amygdala,like,0.16226784345579504,0.47500000000000087,0.4986978555496912,0.08647056093062916,0.1703890464798037,0.08391848554917455
24,amygdala,like,-0.17626762676267604,0.2650000000000007,0.4986978555496912,0.125,0.0,-0.125
25,amygdala,like,-0.16456288778752676,0.575000000000001,1.7120108004463233,0.4148594230243926,0.5847817695010697,0.16992234647667714
26,amygdala,like,0.3607896636115438,0.675000000000001,1.728021901347806,0.7434688853447673,0.8860741351810212,0.1426052498362539
27,amygdala,like,-0.12530755769590893,0.015000000000000457,0.4986978555496912,0.07726343808331154,0.030198489804664077,-0.04706494827864746
28,amygdala,like,0.42252937623713754,0.9250000000000013,1.410071601930957,0.241401817072152,0.37317218624987797,0.13177036917772597
29,amygdala,like,-0.13319817848393667,0.0050000000000004485,0.4603561423658812,0.04773656191668847,0.0,-0.04773656191668847
30,amygdala,like,1.2878379112240093,0.43500000000000083,8.635840975498713,6.293413854523772,6.671804032919291,0.37839017839551925
31,amygdala,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
32,amygdala,like,-0.6664187687755437,0.19500000000000062,1.4355561890230155,0.8988256171055369,0.541255480084055,-0.3575701370214819
33,amygdala,like,1.957812408972631,0.7050000000000011,5.920157245064143,2.7614148742637656,4.191817717744581,1.430402843480815
34,amygdala,like,-0.529840564837562,0.46500000000000086,0.9661585114196822,0.42474445309129366,0.176874587244177,-0.24786986584711665
35,amygdala,like,0.4097697191906651,0.2950000000000007,1.9585374265622197,0.6840646992103478,0.7626399334112536,0.07857523420090573
36,amygdala,like,-2.016748684006976,0.575000000000001,11.658683449622625,8.468541868989682,7.881825076670521,-0.5867167923191614
37,amygdala,like,-0.32206327831608933,0.2850000000000007,1.365726581991951,0.4693863478775461,0.15453752102242574,-0.31484882685512033
38,amygdala,like,-0.8059903803053783,0.025000000000000466,1.0042293909682942,0.7085030303023097,0.2695490671856434,-0.43895396311666623
39,amygdala,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
40,amygdala,like,-0.5052290706801847,0.46500000000000086,1.2248253716129693,0.9025964351685931,0.4785473547924314,-0.42404908037616174
41,amygdala,like,-0.16501650165016485,0.3150000000000007,0.5042378883006216,0.2197908653395333,0.030209134660466753,-0.18958173067906653
42,amygdala,like,0.0,0.0050000000000004485,0.0,0.0,0.0,0.0
43,amygdala,like,-0.8449588386506506,0.0050000000000004485,1.9289700958624567,1.3583223984042556,0.90530970706804,-0.4530126913362156
44,amygdala,like,0.41491078885813915,0.4950000000000009,1.202961303526485,0.49882187713959797,0.6769257542137695,0.17810387707417158
45,amygdala,like,0.4633767362184401,0.33500000000000074,1.326199386561862,0.7119326170683539,0.8117747410777908,0.09984212400943693
46,amygdala,like,0.31016242748070055,0.9250000000000013,9.28657641045586,6.848163792789608,6.658014466197385,-0.1901493265922225
