time_s,overall_like_hz,overall_dislike_hz,amygdala_like_hz,amygdala_dislike_hz,hippocampus_like_hz,hippocampus_dislike_hz
-0.495,1.0519906780041355,0.7804186747746982,1.734533252538608,1.3476182361285227,0.36944810346966295,0.21321911342087366
-0.485,1.0337368566796585,0.7892320059752207,1.7029423187146593,1.3597566980497942,0.36453139464465745,0.21870731390064763
-0.475,1.0166848846310508,0.7978260757239385,1.6738546813936048,1.3722171073521001,0.3595150878684974,0.22343504409577675
-0.46499999999999997,1.001418447931869,0.8056701333529244,1.6480614125635213,1.3838643428799855,0.3547754833002171,0.22747592382586368
-0.45499999999999996,0.9882989589443193,0.8123498761794412,1.6258812051419496,1.3935986962990141,0.35071671274668914,0.23110105605986808
-0.44499999999999995,0.977465885804292,0.8176896847506767,1.607198343219146,1.4006639892230528,0.34773342838943816,0.2347153802783003
-0.43499999999999994,0.9688667599591663,0.8217915654923246,1.5915990444905115,1.4047970631540119,0.3461344754278207,0.23878606783063722
-0.42499999999999993,0.9623774040356186,0.824997411855554,1.5786700731993373,1.40634145802747,0.3460847348719002,0.24365336568363782
-0.4149999999999999,0.957847313835534,0.8278959869057206,1.5681316737834394,1.406279291176284,0.3475629538876288,0.24951268263515708
-0.4049999999999999,0.9550956799407502,0.8311433285435911,1.5598493169004235,1.40598225852492,0.3503420429810772,0.2563043985622618
-0.3949999999999999,0.9539150917082868,0.8353319730509408,1.5538151252162502,1.4069088017107088,0.3540150582003234,0.26375514439117265
-0.3849999999999999,0.9540189710787048,0.8408484510625899,1.549982438407912,1.410326468516831,0.3580555037494977,0.2713704336083487
-0.3749999999999999,0.9549189932422876,0.8477791714862034,1.5480323105604983,1.4169399797155142,0.36180567592407686,0.2786183632568928
-0.3649999999999999,0.9559708175991322,0.8558783299633866,1.5473041846021829,1.4267291235600783,0.36463745059608144,0.28502753636669503
-0.35499999999999987,0.9563593148668603,0.8645724824542983,1.546734525839789,1.43885951206909,0.36598410389393154,0.2902854528395063
-0.34499999999999986,0.9552096458260199,0.8730947471744398,1.5450696095591803,1.451864094131474,0.36534968209285945,0.29432540021740494
-0.33499999999999985,0.9517581273055399,0.8806273690036844,1.541093484125766,1.4638971027181795,0.3624227704853133,0.2973576352891889
-0.32499999999999984,0.9454928404467726,0.8864307968146935,1.5339465515579145,1.4730383785501648,0.3570391293356306,0.29982321507922205
-0.31499999999999984,0.9362677924418767,0.8899933911014584,1.5232781613511768,1.4776825934240971,0.3492574235325765,0.30230418877881976
-0.3049999999999998,0.9243560352038646,0.8910959878087132,1.5094112117458942,1.4767858332365669,0.3393008586618349,0.30540614238085956
-0.2949999999999998,0.9104353184592908,0.8898149299195509,1.4932438579056726,1.4699968609358458,0.3276267790129089,0.3096329989032558
-0.2849999999999998,0.8954705545598585,0.8864789230298279,1.47607323512161,1.4577131006036983,0.3148678739981074,0.31524474545595793
-0.2749999999999998,0.8805550816561251,0.8815733730597186,1.4593049776933493,1.440979868610589,0.30180518561890096,0.3221668775088477
-0.2649999999999998,0.8667416405498078,0.8756186582023405,1.444138118418088,1.421246973036022,0.28934516268152777,0.3299903433686589
-0.2549999999999998,0.8549373310434403,0.8691467920052287,1.431422763878009,1.4003000907795617,0.2784518982088714,0.3379934932308952
-0.24499999999999977,0.8457156669062144,0.8625823758677569,1.4214030536787912,1.3798983715860993,0.27002828013363744,0.3452663801494146
-0.23499999999999976,0.839367623694059,0.8563159026253935,1.413878028206853,1.3617479956476728,0.2648572191812652,0.3508838096031143
-0.22499999999999976,0.8358811287343549,0.8506754061090537,1.4082520228882973,1.3472955694887787,0.2635102345804126,0.35405524272932837
-0.21499999999999975,0.8349629748797486,0.846023563554649,1.4036454128761406,1.337765592120421,0.26628053688335684,0.3542815349888773
-0.20499999999999974,0.8361384655582427,0.8427049861544533,1.3991582532332658,1.333991642638248,0.2731186778832199,0.3514183296706585
-0.19499999999999973,0.8387782084191021,0.8411061234067466,1.3939212573325805,1.3365161942340082,0.283635159505624,0.3456960525794848
-0.18499999999999972,0.8422392596120178,0.8415681534924769,1.3872907108479076,1.3454664643468193,0.29718780837612846,0.3376698426381343
-0.1749999999999997,0.8458321926101573,0.8442874313244517,1.378851003298716,1.3605162918851355,0.3128133819215984,0.3280585707637678
-0.1649999999999997,0.8489841116020014,0.849226635424135,1.368536101059456,1.3807809748424527,0.3294321221445471,0.31767229600581753
-0.1549999999999997,0.8511932679058467,0.8560696626469544,1.356523921172763,1.404869321644584,0.3458626146389302,0.3072700036493243
-0.14499999999999968,0.852159792348935,0.8641945479589612,1.3433256954663058,1.4308966028055206,0.36099388923156445,0.2974924931124021
-0.13499999999999968,0.8517364539035014,0.8726775066400034,1.3296800375555033,1.45654279192606,0.3737928702514992,0.2888122213539469
-0.12499999999999967,0.8500171679549604,0.880449120497414,1.3165684777707831,1.4793387419686166,0.38346585813913797,0.2815594990262116
-0.11499999999999966,0.8473208301023434,0.8863880931234469,1.3050746931478112,1.4968430582104608,0.3895669670568755,0.2759331280364333
