region,time_s,like_mean_hz,like_std_hz,dislike_mean_hz,dislike_std_hz,diff_mean_hz,p_raw,p_fdr
overall,-0.495,1.0519906780041355,2.4805313628785215,0.7804186747746982,2.3146816812731354,0.2715720032294372,0.1686492154900282,0.5113287751159371
overall,-0.485,1.0337368566796585,2.309046220146035,0.7892320059752207,2.220414391730671,0.24450485070443762,0.20056039227774225,0.5169082275199542
overall,-0.475,1.0166848846310508,2.1574711909328665,0.7978260757239385,2.13297318860408,0.21885880890711265,0.24148582212872927,0.5466244591689514
overall,-0.46499999999999997,1.001418447931869,2.0331435562227083,0.8056701333529244,2.0548656078454686,0.1957483145789446,0.23666803927305224,0.5466244591689514
overall,-0.45499999999999996,0.9882989589443193,1.9393191709066782,0.8123498761794412,1.9869254282984696,0.17594908276487814,0.22262785063024515,0.5456564966427577
overall,-0.44499999999999995,0.977465885804292,1.8746646642936362,0.8176896847506767,1.9285616909361578,0.15977620105361562,0.19220124035838215,0.5113287751159371
overall,-0.43499999999999994,0.9688667599591663,1.8345050559762985,0.8217915654923246,1.878411773576364,0.1470751944668414,0.16494847554896852,0.5113287751159371
overall,-0.42499999999999993,0.9623774040356186,1.8128084076913684,0.824997411855554,1.834994505696106,0.1373799921800648,0.16865309624774982,0.5113287751159371
overall,-0.4149999999999999,0.957847313835534,1.8041485183197083,0.8278959869057206,1.7975715092628128,0.12995132692981332,0.24149011109467156,0.5466244591689514
overall,-0.4049999999999999,0.9550956799407502,1.8045585866341318,0.8311433285435911,1.7662803052437703,0.12395235139715932,0.32803913703375254,0.6166149192363769
overall,-0.3949999999999999,0.9539150917082868,1.811706329326098,0.8353319730509408,1.7420734443106742,0.11858311865734605,0.4613826078740544,0.681762206108045
overall,-0.3849999999999999,0.9540189710787048,1.8242064543468406,0.8408484510625899,1.7263050130644906,0.11317052001611505,0.5785883972321413,0.7184104444020001
overall,-0.3749999999999999,0.9549189932422876,1.8407954457296642,0.8477791714862034,1.7199814478466464,0.10713982175608422,0.6463401815929486,0.7600511796507999
