region,n_channels,n_like_trials,n_dislike_trials,like_delta_mean_hz,dislike_delta_mean_hz,mean_diff_like_minus_dislike_hz,wilcoxon_p
overall,64,16,19,-0.09957557520856206,0.006839481557367681,-0.10641505676592972,0.12841263682125154
amygdala,32,16,19,-0.13587107604670795,-0.0300469331636994,-0.10582414288300859,0.3811715864506616
hippocampus,32,16,19,-0.06328007437041615,0.04372589627843476,-0.10700597064885091,0.16977498788033196
