region,time_s,ifr_like_hz,ifr_dislike_hz,ifr_like_minus_dislike_hz
overall,-0.495,0.5506632119370796,0.5997658614454873,-0.0491026495084077
overall,-0.485,0.6642163893312709,0.6756657381297821,-0.011449348798511227
overall,-0.475,0.7767354933169676,0.7401164412628188,0.036619052054148726
overall,-0.46499999999999997,0.8812533161802563,0.7895006235139321,0.09175269266632413
overall,-0.45499999999999996,0.9710661651730177,0.8215668793370258,0.14949928583599192
overall,-0.44499999999999995,1.040628064380145,0.8354897408986869,0.20513832348145822
overall,-0.43499999999999994,1.086254268090355,0.8320854370162925,0.25416883107406263
overall,-0.42499999999999993,1.1068103731169598,0.8131203911602892,0.2936899819566706
overall,-0.4149999999999999,1.1035918259484814,0.7814226531667766,0.32216917278170476
overall,-0.4049999999999999,1.0801462230501666,0.7402629409243802,0.33988328212578645
overall,-0.3949999999999999,1.0415437240206191,0.6932297707118014,0.34831395330881776
overall,-0.3849999999999999,0.9934084658695631,0.6437080747124789,0.3497003911570842
overall,-0.3749999999999999,0.9412089483882302,0.5951423140827872,0.34606663430544304
overall,-0.3649999999999999,0.8895315957507409,0.5507698859732412,0.33876170977749975
overall,-0.35499999999999987,0.841575298084293,0.5137929193645937,0.3277823787196993
overall,-0.34499999999999986,0.7992015162665841,0.4870109540566394,0.3121905622099447
overall,-0.33499999999999985,0.7630097338061704,0.47306256744525665,0.2899471663609138
overall,-0.32499999999999984,0.7327211896348202,0.47396861397356155,0.2587525756612587
overall,-0.31499999999999984,0.7074801410083926,0.4911194718159037,0.21636066919248892
overall,-0.3049999999999998,0.6862663695379284,0.5250813502778879,0.16118501926004047
overall,-0.2949999999999998,0.6680851391095405,0.5752707521224695,0.09281438698707101
overall,-0.2849999999999998,0.6521797181394143,0.6400673404391586,0.01211237770025575
overall,-0.2749999999999998,0.6380800445163193,0.7167930455226554,-0.07871300100633616
overall,-0.2649999999999998,0.6253383554844028,0.8020561159581393,-0.17671776047373655
overall,-0.2549999999999998,0.6138753269063778,0.89144908572253,-0.2775737588161522
overall,-0.24499999999999977,0.6036711594825628,0.980502568214653,-0.3768314087320902
overall,-0.23499999999999976,0.5948661961215999,1.064668674570077,-0.4698024784484772
overall,-0.22499999999999976,0.5879024205265807,1.1397762772656526,-0.5518738567390719
overall,-0.21499999999999975,0.583386748860187,1.2023179514482638,-0.6189312025880768
overall,-0.20499999999999974,0.5820977786700335,1.25000312722245,-0.6679053485524166
overall,-0.19499999999999973,0.5849707781938911,1.2816958160733656,-0.6967250378794745
overall,-0.18499999999999972,0.592770976838645,1.29790188740283,-0.7051309105641851
overall,-0.1749999999999997,0.6060317678423193,1.3003719875049562,-0.6943402196626369
overall,-0.1649999999999997,0.6247832788093843,1.292345171393589,-0.6675618925842046
overall,-0.1549999999999997,0.6483080084572642,1.277818675879318,-0.6295106674220537
overall,-0.14499999999999968,0.6753040537952801,1.2613419889494006,-0.5860379351541205
overall,-0.13499999999999968,0.7037633383156773,1.2475002665786112,-0.543736928262934
overall,-0.12499999999999967,0.7315670408534767,1.239975577850273,-0.5084085369967963
overall,-0.11499999999999966,0.756515400417504,1.2415012569278971,-0.48498585651039317
overall,-0.10499999999999965,0.7768630232425648,1.253155906697568,-0.4762928834550031
overall,-0.09499999999999964,0.7917297310266456,1.2743495892648167,-0.4826198582381711
overall,-0.08499999999999963,0.801193431018281,1.3027323846745524,-0.5015389536562714
overall,-0.07499999999999962,0.8061583053512892,1.3345791691796445,-0.5284208638283553
overall,-0.06499999999999961,0.8083761825904612,1.3650301585495832,-0.556653975959122
overall,-0.054999999999999605,0.8100671516948719,1.3888978995240742,-0.5788307478292023
overall,-0.044999999999999596,0.8133654780712551,1.4015209703633942,-0.588155492292139
overall,-0.03499999999999959,0.819990234434304,1.399291605424992,-0.579301370990688
overall,-0.024999999999999578,0.8310088465910611,1.3803524181603772,-0.5493435715693161
overall,-0.01499999999999957,0.8462398125620053,1.3450898934412288,-0.49885008087922345
overall,-0.00499999999999956,0.8645727420876526,1.2956051672050686,-0.431032425117416
overall,0.0050000000000004485,0.883879088872695,1.2356855656123422,-0.35180647673964727
overall,0.015000000000000457,0.9013966812248826,1.1698300672396333,-0.26843338601475075
overall,0.025000000000000466,0.91409109267852,1.1029165762647801,-0.18882548358626017
overall,0.035000000000000475,0.9191472118782522,1.0389506689766403,-0.11980345709838813
overall,0.045000000000000484,0.914473931642857,0.981162607163735,-0.0666886755208781
overall,0.05500000000000049,0.8991658411080847,0.9313115416906301,-0.0321457005825454
overall,0.0650000000000005,0.8736324852961083,0.8902984162479813,-0.016665930951873076
overall,0.07500000000000051,0.8396162968356918,0.8578365875870408,-0.01822029075134901
overall,0.08500000000000052,0.8001010158707577,0.8331058512910123,-0.033004835420254675
overall,0.09500000000000053,0.7587331162606139,0.814688269890045,-0.05595515362943104
overall,0.10500000000000054,0.7193143678991489,0.8009437616364917,-0.08162939373734279
overall,0.11500000000000055,0.6851765077946547,0.7902756209831477,-0.10509911318849308
overall,0.12500000000000056,0.6584938139685091,0.7812600594102446,-0.12276624544173542
overall,0.13500000000000056,0.6399994249532336,0.7727693733813776,-0.13276994842814405
overall,0.14500000000000057,0.6291122934921741,0.764357404812037,-0.13524511131986283
overall,0.15500000000000058,0.623824354909284,0.7562996122949271,-0.13247525738564314
overall,0.1650000000000006,0.6214983370660099,0.7492953076107343,-0.1277969705447244
overall,0.1750000000000006,0.6194119204977807,0.7444808702974282,-0.12506894979964744
overall,0.1850000000000006,0.6154020474484867,0.743096499833791,-0.1276944523853043
overall,0.19500000000000062,0.6083456075605467,0.7460682302012651,-0.13772262264071844
overall,0.20500000000000063,0.5984126571997272,0.7538397441953874,-0.1554270869956601
overall,0.21500000000000064,0.5867257478810505,0.7661842162917853,-0.17945846841073487
overall,0.22500000000000064,0.5750585597676342,0.7823308691186265,-0.20727230935099228
overall,0.23500000000000065,0.5652547466900147,0.8012986645579272,-0.23604391786791246
overall,0.24500000000000066,0.5587346805171844,0.8218621054668116,-0.26312742494962715
overall,0.25500000000000067,0.5560352268016012,0.84299254742257,-0.2869573206209688
overall,0.2650000000000007,0.5567108295167538,0.8636390401860219,-0.3069282106692681
overall,0.2750000000000007,0.5594626939872617,0.8829652996867801,-0.3235026056995184
overall,0.2850000000000007,0.5624429587236243,0.9003457958006339,-0.33790283707700963
overall,0.2950000000000007,0.5635677267875578,0.9150986664522718,-0.35153093966471394
overall,0.3050000000000007,0.5611511843719629,0.9265489132525951,-0.36539772888063227
overall,0.3150000000000007,0.5539378676129222,0.9341153646178368,-0.38017749700491466
overall,0.32500000000000073,0.5414387715499992,0.9373099401563568,-0.3958711686063576
overall,0.33500000000000074,0.5239452093717767,0.9358464964465355,-0.4119012870747588
overall,0.34500000000000075,0.502420862709778,0.9295388459698687,-0.42711798326009065
overall,0.35500000000000076,0.47833748333072434,0.9184640734387751,-0.4401265901080508
overall,0.36500000000000077,0.45357872126890975,0.9027574128207716,-0.44917869155186185
overall,0.3750000000000008,0.43031159809623526,0.8829727880916034,-0.45266118999536814
overall,0.3850000000000008,0.41082910141586293,0.8597584178909087,-0.44892931647504575
overall,0.3950000000000008,0.39774450475644685,0.8341003531926112,-0.4363558484361644
overall,0.4050000000000008,0.3935151289623972,0.8073737557599525,-0.4138586267975553
overall,0.4150000000000008,0.4004303995364565,0.7812898789104301,-0.38085947937397363
overall,0.4250000000000008,0.4203450062273622,0.7579970661842309,-0.3376520599568687
overall,0.43500000000000083,0.4543659976593589,0.7397533259146701,-0.2853873282553112
overall,0.44500000000000084,0.5025327478667294,0.7286318999628524,-0.22609915209612297
overall,0.45500000000000085,0.5636090317828687,0.7262610391655177,-0.16265200738264896
overall,0.46500000000000086,0.6351758190505595,0.733713638520765,-0.09853781947020546
overall,0.47500000000000087,0.7137030923812188,0.7507894360648025,-0.03708634368358377
overall,0.4850000000000009,0.7951632960810712,0.776371253531113,0.018792042549958143
overall,0.4950000000000009,0.8754333424928459,0.8084225471796718,0.06701079531317411
overall,0.5050000000000009,0.9508604404116832,0.844285462127819,0.1065749782838642
overall,0.5150000000000009,1.0186585779880952,0.8810035695112834,0.13765500847681178
overall,0.5250000000000009,1.077200528628568,0.9158375566513695,0.1613629719771985
overall,0.5350000000000009,1.1259620819990204,0.9464246489173006,0.17953743308171977
overall,0.5450000000000009,1.1655216158941022,0.9714182687153986,0.1941033471787036
overall,0.5550000000000009,1.1969509679704802,0.9900339758955705,0.20691699207490966
overall,0.565000000000001,1.2217748925820893,1.002539817960243,0.21923507462184633
overall,0.575000000000001,1.2414628002759935,1.009491615868611,0.23197118440738262
overall,0.585000000000001,1.2572022468891255,1.011861392569689,0.24534085431943642
overall,0.595000000000001,1.2696367798674857,1.0103896434619597,0.259247136405526
overall,0.605000000000001,1.2788872472479098,1.0056533913851198,0.27323385586279003
overall,0.615000000000001,1.284452657595842,0.9979791987448896,0.2864734588509523
overall,0.625000000000001,1.2856372063233148,0.9874074150371088,0.29822979128620597
overall,0.635000000000001,1.2816536895549648,0.9740492967557685,0.3076043927991964
overall,0.645000000000001,1.2719757281044983,0.958453465986727,0.31352226211777134
overall,0.655000000000001,1.2567278733076797,0.9417042309989003,0.31502364230877933
overall,0.665000000000001,1.2367361869519666,0.9255795244843881,0.31115666246757856
overall,0.675000000000001,1.2135053177184543,0.912536729942316,0.3009685877761382
overall,0.685000000000001,1.1888301983826866,0.9053922756171222,0.28343792276556434
overall,0.6950000000000011,1.164318111415305,0.9065888503418843,0.25772926107342065
overall,0.7050000000000011,1.1411243127543413,0.9181667780503022,0.22295753470403912
overall,0.7150000000000011,1.1192066224820436,0.9412229055165262,0.1779837169655174
overall,0.7250000000000011,1.09759631711948,0.9757765046336084,0.12181981248587159
overall,0.7350000000000011,1.0743859483252618,1.0208384743617416,0.05354747396352022
overall,0.7450000000000011,1.0474088800356163,1.0747734562098696,-0.027364576174253363
overall,0.7550000000000011,1.0146722067479201,1.1357679824030666,-0.12109577565514651
overall,0.7650000000000011,0.9752677462736628,1.2018954175983354,-0.22662767132467265
overall,0.7750000000000011,0.929569067572199,1.2712133486198696,-0.34164428104767053
overall,0.7850000000000011,0.8793391869704954,1.3418068730731356,-0.4624676861026402
overall,0.7950000000000012,0.8276017647631877,1.411546007987642,-0.5839442432244544
overall,0.8050000000000012,0.7780710488790421,1.4780608421078878,-0.6999897932288457
overall,0.8150000000000012,0.734640074982496,1.5386044611966567,-0.8039643862141608
overall,0.8250000000000012,0.7008856879975119,1.5902430392227715,-0.8893573512252596
overall,0.8350000000000012,0.6796696281863036,1.6300634909581826,-0.950393862771879
overall,0.8450000000000012,0.6728563215435784,1.655774567940827,-0.9829182463972485
overall,0.8550000000000012,0.6811485241288902,1.6661608457054355,-0.9850123215765454
overall,0.8650000000000012,0.7043094590299801,1.6610439010591178,-0.9567344420291377
overall,0.8750000000000012,0.7408336229879197,1.6416425579784957,-0.900808934990576
overall,0.8850000000000012,0.7883729594958517,1.6104694114374938,-0.822096451941642
overall,0.8950000000000012,0.8432193433994805,1.5707288426185118,-0.7275094992190313
overall,0.9050000000000012,0.9010138401255642,1.5260042461707692,-0.6249904060452051
overall,0.9150000000000013,0.9569631788855083,1.4799537208638147,-0.5229905419783064
overall,0.9250000000000013,1.0061147248762243,1.43577968929686,-0.4296649644206356
overall,0.9350000000000013,1.0443514235200182,1.3959030420911438,-0.3515516185711256
overall,0.9450000000000013,1.0689799548029209,1.3619894249812567,-0.2930094701783359
