Channel	SCS	MNI	World	ASEG	ASEG_prob	DKT	DKT_prob	Desikan-Killiany	Desikan-Killiany_prob	Destrieux	Destrieux_prob	mid_277045V:DKT	mid_277045V:Destrieux	mid_277045V:Desikan-Killiany	mid_277045V:Brodmann	mid_277045V:Brodmann-thresh	mid_277045V:vcAtlas	mid_15002V:DKT	mid_15002V:Destrieux	mid_15002V:Desikan-Killiany	mid_15002V:Brodmann	mid_15002V:Brodmann-thresh	mid_15002V:vcAtlas	cortex_277045V:DKT	cortex_277045V:Destrieux	cortex_277045V:Desikan-Killiany	cortex_277045V:Brodmann	cortex_277045V:Brodmann-thresh	cortex_277045V:vcAtlas	cortex_15002V:DKT	cortex_15002V:Destrieux	cortex_15002V:Desikan-Killiany	cortex_15002V:Brodmann	cortex_15002V:Brodmann-thresh	cortex_15002V:vcAtlas	cortex_cereb_17005V:DKT	cortex_cereb_17005V:Destrieux	cortex_cereb_17005V:Desikan-Killiany	cortex_cereb_17005V:Brodmann	cortex_cereb_17005V:Brodmann-thresh	cortex_cereb_17005V:vcAtlas	white_277045V:DKT	white_277045V:Destrieux	white_277045V:Desikan-Killiany	white_277045V:Brodmann	white_277045V:Brodmann-thresh	white_277045V:vcAtlas	white_15003V:DKT	white_15003V:Destrieux	white_15003V:Desikan-Killiany	white_15003V:Brodmann	white_15003V:Brodmann-thresh	white_15003V:vcAtlas
A-Amy-mTL11	[17.542,49.332,21.859]	[-50.773,0.151,-23.476]	[-55.439,42.865,-9.948]	White L	59%	White L	59%	White L	59%	White L	59%	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	G_temporal_middle L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A
A-Amy-mTL12	[18.217,52.763,21.705]	[-54.313,0.863,-23.665]	[-58.889,43.452,-9.948]	White L	59%	White L	59%	White L	59%	White L	59%	middletemporal L	G_temporal_middle L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	G_temporal_middle L	middletemporal L	N/A	N/A	N/A	middletemporal L	G_temporal_middle L	middletemporal L	N/A	N/A	N/A
B-aHippo1	[0.401,27.276,20.112]	[-28.028,-18.436,-25.105]	[-32.935,26.992,-14.948]	Hippocampus L	98%	Hippocampus L	98%	Hippocampus L	98%	Hippocampus L	98%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B-aHippo2	[0.136,30.699,20.790]	[-31.556,-18.737,-24.327]	[-36.340,26.506,-14.299]	Hippocampus L	78%	Hippocampus L	78%	Hippocampus L	78%	Hippocampus L	78%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	perirhinal_exvivo L	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	N/A	N/A
B-aHippo3	[-0.130,34.122,21.468]	[-35.084,-19.038,-23.549]	[-39.745,26.019,-13.651]	White L	61%	White L	61%	White L	61%	White L	61%	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	perirhinal_exvivo L	N/A	N/A
B-aHippo4	[-0.395,37.546,22.146]	[-38.612,-19.339,-22.771]	[-43.149,25.533,-13.002]	White L	87%	White L	87%	White L	87%	White L	87%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	S_collat_transv_ant L	fusiform L	perirhinal_exvivo L	N/A	FG4 L	fusiform L	S_collat_transv_ant L	fusiform L	perirhinal_exvivo L	N/A	N/A
B-aHippo5	[-0.661,40.969,22.824]	[-42.140,-19.640,-21.993]	[-46.554,25.046,-12.354]	White L	83%	White L	83%	White L	83%	White L	83%	inferiortemporal L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	FG4 L	fusiform L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	FG4 L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiortemporal L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	FG4 L	inferiortemporal L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	FG4 L
B-aHippo6	[-0.926,44.393,23.502]	[-45.668,-19.941,-21.215]	[-49.959,24.560,-11.705]	White L	98%	White L	98%	White L	98%	White L	98%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiortemporal L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	FG4 L	inferiortemporal L	S_collat_transv_ant L	inferiortemporal L	N/A	N/A	N/A
B-aHippo7	[-1.192,47.816,24.180]	[-49.196,-20.242,-20.437]	[-53.364,24.074,-11.057]	White L	98%	White L	98%	White L	98%	White L	98%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A
B-aHippo8	[-1.457,51.240,24.858]	[-52.724,-20.543,-19.659]	[-56.769,23.587,-10.408]	White L	74%	White L	74%	White L	74%	White L	74%	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	inferiortemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A
B-aHippo9	[-1.723,54.663,25.536]	[-56.252,-20.844,-18.881]	[-60.174,23.101,-9.760]	Cortex L	75%	Middle temporal L	51%	Inferior temporal L	62%	S_temporal_inf L	74%	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A
B-aHippo10	[-1.988,58.086,26.214]	[-59.780,-21.145,-18.103]	[-63.578,22.614,-9.111]	Cortex L	68%	Middle temporal L	60%	Middle temporal L	60%	S_temporal_inf L	54%	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo1	[-8.876,24.687,30.986]	[-25.297,-28.379,-12.528]	[-29.935,15.992,-5.948]	Hippocampus L	86%	Hippocampus L	86%	Hippocampus L	86%	Hippocampus L	86%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo2	[-11.235,27.161,31.735]	[-27.846,-30.957,-11.625]	[-32.331,13.463,-5.615]	Hippocampus L	53%	Hippocampus L	53%	Hippocampus L	53%	Hippocampus L	53%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	FG3 L	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	FG3 L
C-cHippo3	[-13.594,29.635,32.484]	[-30.394,-33.536,-10.721]	[-34.727,10.933,-5.282]	Hippocampus L	46%	Hippocampus L	46%	Hippocampus L	46%	Hippocampus L	46%	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	FG3 L	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	FG3 L	parahippocampal L	S_oc-temp_med_and_Lingual L	parahippocampal L	N/A	N/A	N/A
C-cHippo4	[-15.954,32.110,33.233]	[-32.943,-36.114,-9.818]	[-37.124,8.404,-4.950]	Cortex L	67%	Lingual L	33%	Lingual L	52%	S_oc-temp_med_and_Lingual L	67%	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	parahippocampal L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	parahippocampal L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L
C-cHippo5	[-18.313,34.584,33.982]	[-35.491,-38.692,-8.915]	[-39.520,5.875,-4.617]	White L	58%	White L	58%	White L	58%	White L	58%	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L	fusiform L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	FG3 L
C-cHippo6	[-20.673,37.058,34.731]	[-38.039,-41.270,-8.012]	[-41.916,3.345,-4.284]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	fusiform L	S_oc-temp_med_and_Lingual L	fusiform L	N/A	N/A	FG3 L	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo7	[-23.032,39.532,35.481]	[-40.588,-43.848,-7.108]	[-44.312,0.816,-3.951]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo8	[-25.392,42.006,36.230]	[-43.136,-46.427,-6.205]	[-46.708,-1.713,-3.618]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo9	[-27.751,44.481,36.979]	[-45.684,-49.005,-5.302]	[-49.105,-4.243,-3.286]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo10	[-30.110,46.955,37.728]	[-48.233,-51.583,-4.398]	[-51.501,-6.772,-2.953]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-cHippo11	[-32.470,49.429,38.477]	[-50.781,-54.161,-3.495]	[-53.897,-9.301,-2.620]	White L	81%	White L	81%	White L	81%	White L	81%	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A
C-cHippo12	[-34.829,51.903,39.226]	[-53.330,-56.739,-2.592]	[-56.293,-11.831,-2.287]	Cortex L	83%	Middle temporal L	75%	Middle temporal L	48%	S_temporal_inf L	78%	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_inf L	inferiortemporal L	N/A	N/A	N/A
D-aTL1	[29.839,21.299,9.684]	[-21.920,13.559,-37.603]	[-27.935,57.992,-19.948]	Cortex L	4%	Superior temporal L	4%	Temporal pole L	4%	Pole_temporal L	4%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-aTL2	[30.733,24.548,10.631]	[-25.266,14.529,-36.544]	[-31.194,58.603,-18.828]	Cortex L	43%	Superior temporal L	43%	Temporal pole L	38%	Pole_temporal L	40%	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A
D-aTL3	[31.628,27.797,11.577]	[-28.612,15.498,-35.484]	[-34.453,59.214,-17.707]	Cortex L	55%	Superior temporal L	55%	Superior temporal L	45%	G_temp_sup-Plan_polar L	41%	superiortemporal L	Pole_temporal L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Plan_polar L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Plan_polar L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Plan_polar L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	Pole_temporal L	temporalpole L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-aTL4	[32.522,31.045,12.524]	[-31.959,16.468,-34.425]	[-37.712,59.825,-16.587]	Cortex L	72%	Superior temporal L	72%	Superior temporal L	72%	G_temp_sup-Lateral L	37%	superiortemporal L	G_temp_sup-Plan_polar L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Plan_polar L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-aTL5	[33.417,34.294,13.470]	[-35.305,17.437,-33.366]	[-40.971,60.436,-15.467]	Cortex L	53%	Superior temporal L	53%	Superior temporal L	53%	White L	47%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A
D-aTL6	[34.311,37.543,14.417]	[-38.651,18.407,-32.307]	[-44.230,61.047,-14.346]	Cortex L	63%	Superior temporal L	63%	Superior temporal L	63%	G_temp_sup-Lateral L	63%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-aTL7	[35.205,40.791,15.363]	[-41.998,19.376,-31.248]	[-47.489,61.658,-13.226]	Cortex L	41%	Superior temporal L	41%	Superior temporal L	41%	G_temp_sup-Lateral L	41%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-aTL8	[36.100,44.040,16.310]	[-45.344,20.346,-30.189]	[-50.748,62.270,-12.106]	Cortex L	4%	Superior temporal L	4%	Superior temporal L	4%	G_temp_sup-Lateral L	4%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
F-insula-sTL1	[10.659,38.206,35.419]	[-39.220,-7.089,-7.892]	[-43.935,33.992,2.052]	Cortex L	86%	Insula L	51%	Insula L	51%	S_circular_insula_inf L	67%	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL2	[9.494,41.169,36.874]	[-42.268,-8.356,-6.210]	[-46.843,32.496,3.298]	Cortex L	68%	Superior temporal L	68%	Superior temporal L	68%	S_circular_insula_inf L	67%	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL3	[8.330,44.132,38.329]	[-45.317,-9.623,-4.529]	[-49.752,31.000,4.545]	White L	57%	White L	57%	White L	57%	White L	57%	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL4	[7.166,47.095,39.783]	[-48.366,-10.890,-2.848]	[-52.660,29.505,5.791]	White L	81%	White L	81%	White L	81%	White L	81%	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL5	[6.002,50.057,41.238]	[-51.414,-12.157,-1.166]	[-55.569,28.009,7.038]	Cortex L	54%	Superior temporal L	54%	Superior temporal L	54%	White L	45%	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL6	[4.838,53.020,42.693]	[-54.463,-13.424,0.515]	[-58.477,26.513,8.284]	Cortex L	57%	Superior temporal L	57%	Superior temporal L	57%	G_temp_sup-Lateral L	52%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL7	[3.674,55.983,44.147]	[-57.512,-14.691,2.196]	[-61.386,25.017,9.531]	White L	61%	White L	61%	White L	61%	White L	61%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL8	[2.510,58.946,45.602]	[-60.560,-15.958,3.878]	[-64.294,23.522,10.777]	White L	56%	White L	56%	White L	56%	White L	56%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A
F-insula-sTL9	[1.346,61.909,47.057]	[-63.609,-17.224,5.559]	[-67.202,22.026,12.024]	Cortex L	76%	Superior temporal L	76%	Superior temporal L	76%	G_temp_sup-Lateral L	76%	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	G_temp_sup-Lateral L	superiortemporal L	N/A	N/A	N/A
