Channel	SCS	MNI	World	ASEG	ASEG_prob	DKT	DKT_prob	Desikan-Killiany	Desikan-Killiany_prob	Destrieux	Destrieux_prob	mid_277045V:DKT	mid_277045V:Destrieux	mid_277045V:Desikan-Killiany	mid_277045V:Brodmann	mid_277045V:Brodmann-thresh	mid_277045V:vcAtlas	mid_15002V:DKT	mid_15002V:Destrieux	mid_15002V:Desikan-Killiany	mid_15002V:Brodmann	mid_15002V:Brodmann-thresh	mid_15002V:vcAtlas	cortex_277045V:DKT	cortex_277045V:Destrieux	cortex_277045V:Desikan-Killiany	cortex_277045V:Brodmann	cortex_277045V:Brodmann-thresh	cortex_277045V:vcAtlas	cortex_15002V:DKT	cortex_15002V:Destrieux	cortex_15002V:Desikan-Killiany	cortex_15002V:Brodmann	cortex_15002V:Brodmann-thresh	cortex_15002V:vcAtlas	cortex_cereb_17005V:DKT	cortex_cereb_17005V:Destrieux	cortex_cereb_17005V:Desikan-Killiany	cortex_cereb_17005V:Brodmann	cortex_cereb_17005V:Brodmann-thresh	cortex_cereb_17005V:vcAtlas	white_277045V:DKT	white_277045V:Destrieux	white_277045V:Desikan-Killiany	white_277045V:Brodmann	white_277045V:Brodmann-thresh	white_277045V:vcAtlas	white_15003V:DKT	white_15003V:Destrieux	white_15003V:Desikan-Killiany	white_15003V:Brodmann	white_15003V:Brodmann-thresh	white_15003V:vcAtlas
E-preCu-anguar11	[-25.473,27.624,77.190]	[-28.073,-45.821,40.433]	[-31.759,-8.731,36.530]	White L	78%	White L	78%	White L	78%	White L	78%	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A
E-preCu-anguar12	[-25.665,29.553,80.104]	[-30.047,-46.001,43.755]	[-33.642,-9.503,39.378]	White L	95%	White L	95%	White L	95%	White L	95%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A
E-preCu-anguar13	[-25.858,31.482,83.017]	[-32.022,-46.180,47.077]	[-35.524,-10.275,42.226]	White L	55%	White L	55%	White L	55%	White L	55%	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A
E-preCu-anguar14	[-26.051,33.412,85.931]	[-33.996,-46.360,50.399]	[-37.407,-11.048,45.073]	White L	66%	White L	66%	White L	66%	White L	66%	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	N/A	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	BA2_exvivo L	N/A	N/A	superiorparietal L	S_intrapariet_and_P_trans L	superiorparietal L	BA2_exvivo L	N/A	N/A
L-occipital1	[-30.137,16.308,32.923]	[-16.643,-51.491,-9.872]	[-20.935,-5.008,-7.948]	Cortex L	77%	Lingual L	77%	Lingual L	77%	S_oc-temp_med_and_Lingual L	49%	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	G_oc-temp_med-Lingual L	lingual L	N/A	N/A	hOc4v L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A
L-occipital2	[-32.349,18.587,34.393]	[-18.986,-53.897,-8.152]	[-23.130,-7.517,-6.882]	White L	65%	White L	65%	White L	65%	White L	65%	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	V2_exvivo L	N/A	hOc4v L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	hOc4v L
L-occipital3	[-34.562,20.866,35.863]	[-21.329,-56.304,-6.431]	[-25.325,-10.026,-5.816]	White L	83%	White L	83%	White L	83%	White L	83%	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	hOc4v L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	hOc4v L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lingual L	S_oc-temp_med_and_Lingual L	lingual L	V2_exvivo L	N/A	hOc4v L	lingual L	S_oc-temp_med_and_Lingual L	lingual L	N/A	N/A	hOc4v L
L-occipital4	[-36.775,23.145,37.332]	[-23.672,-58.710,-4.711]	[-27.521,-12.534,-4.749]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lingual L	S_calcarine L	lingual L	V1_exvivo L	V1_exvivo L	hOc1 L	lingual L	S_calcarine L	lingual L	V1_exvivo L	V1_exvivo L	hOc1 L
L-occipital5	[-38.987,25.424,38.802]	[-26.015,-61.116,-2.990]	[-29.716,-15.043,-3.683]	White L	92%	White L	92%	White L	92%	White L	92%	pericalcarine L	S_calcarine L	pericalcarine L	V1_exvivo L	V1_exvivo L	hOc1 L	lingual L	S_calcarine L	lingual L	V1_exvivo L	V1_exvivo L	hOc1 L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lingual L	S_calcarine L	lingual L	V1_exvivo L	V1_exvivo L	hOc1 L	lingual L	S_calcarine L	lingual L	V1_exvivo L	V1_exvivo L	hOc1 L
L-occipital6	[-41.200,27.703,40.272]	[-28.358,-63.523,-1.269]	[-31.911,-17.552,-2.617]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	pericalcarine L	S_calcarine L	pericalcarine L	V1_exvivo L	V1_exvivo L	hOc1 L	N/A	N/A	N/A	N/A	N/A	N/A
L-occipital7	[-43.413,29.982,41.741]	[-30.701,-65.929,0.451]	[-34.106,-20.061,-1.551]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
L-occipital8	[-45.625,32.261,43.211]	[-33.044,-68.335,2.172]	[-36.301,-22.570,-0.484]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
L-occipital9	[-47.838,34.540,44.681]	[-35.387,-70.741,3.892]	[-38.497,-25.079,0.582]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
L-occipital10	[-50.051,36.819,46.151]	[-37.730,-73.148,5.613]	[-40.692,-27.587,1.648]	White L	88%	White L	88%	White L	88%	White L	88%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lateraloccipital L	S_oc_middle_and_Lunatus L	lateraloccipital L	N/A	N/A	N/A	lateraloccipital L	S_oc_middle_and_Lunatus L	lateraloccipital L	N/A	N/A	N/A
L-occipital11	[-52.263,39.098,47.620]	[-40.073,-75.554,7.333]	[-42.887,-30.096,2.714]	White L	66%	White L	66%	White L	66%	White L	66%	inferiorparietal L	S_oc_middle_and_Lunatus L	lateraloccipital L	MT_exvivo L	N/A	N/A	lateraloccipital L	S_oc_middle_and_Lunatus L	lateraloccipital L	N/A	N/A	N/A	inferiorparietal L	S_oc_middle_and_Lunatus L	lateraloccipital L	MT_exvivo L	N/A	N/A	lateraloccipital L	S_oc_middle_and_Lunatus L	lateraloccipital L	N/A	N/A	N/A	lateraloccipital L	S_oc_middle_and_Lunatus L	lateraloccipital L	N/A	N/A	N/A	inferiorparietal L	S_oc_middle_and_Lunatus L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_oc_middle_and_Lunatus L	inferiorparietal L	N/A	N/A	N/A
L-occipital12	[-54.476,41.377,49.090]	[-42.416,-77.960,9.054]	[-45.082,-32.605,3.781]	Cortex L	53%	Inferior parietal L	53%	Inferior parietal L	53%	White L	46%	inferiorparietal L	G_occipital_middle L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	S_oc_middle_and_Lunatus L	inferiorparietal L	MT_exvivo L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	G_occipital_middle L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
