edfchannel	other_name	ASEG	ASEG_prob	DKT	DKT_prob	AAL3 (MNI-linear)	AAL3 (MNI-linear)_prob
J7	R-OFC-Hua7	Cortex R	83%	Lateral orbitofrontal R	83%	OFCant R	45%
J8	R-OFC-Hua8	Cortex R	76%	Lateral orbitofrontal R	76%	OFCpost R	94%
J9	R-OFC-Hua9	Cortex R	39%	Pars orbitalis R	26%	OFCant R	52%
J10	R-OFC-Hua10	Cortex R	80%	Pars orbitalis R	80%	OFCant R	88%
J11	R-OFC-Hua11	Cortex R	66%	Pars orbitalis R	66%	OFCant R	54%
J12	R-OFC-Hua12	Cortex R	72%	Pars orbitalis R	72%	OFClat R	75%
K1	R-Nac-Hua1	VentralDC R	27%	VentralDC R	27%		
K2	R-Nac-Hua2	Accumbens R	52%	Accumbens R	52%	N_Acc R	4%
K3	R-Nac-Hua3	Accumbens R	63%	Accumbens R	63%	N_Acc R	25%
K4	R-Nac-Hua4	White R	72%	valic or vcvs R	72%	Pallidum R	39%
K5	R-Nac-Hua5	White R	80%	valic or vcvs R	80%	Pallidum R	31%
K6	R-Nac-Hua6	White R	83%	valic or vcvs R	83%	Caudate R	33%
K7	R-Nac-Hua7	White R	80%	valic or vcvs R	80%	Caudate R	76%
K8	R-Nac-Hua8	White R	89%	valic or vcvs R	89%	Caudate R	86%
K9	R-Nac-Hua9	White R	100%	White R	100%	Caudate R	86%
K10	R-Nac-Hua10	White R	99%	White R	99%	Caudate R	14%
K11	R-Nac-Hua11	White R	97%	White R	97%		
K12	R-Nac-Hua12	White R	100%	White R	100%		
K13	R-Nac-Hua13	White R	99%	White R	99%		
K14	R-Nac-Hua14	White R	81%	White R	81%	Frontal_Mid_2 R	18%
K15	R-Nac-Hua15	White R	78%	White R	78%	Frontal_Mid_2 R	90%
K16	R-Nac-Hua16	White R	56%	White R	56%	Frontal_Mid_2 R	100%
L1	R-BNST-Hua1	VentralDC R	66%	BNST R	66%		
L2	R-BNST-Hua2	VentralDC R	55%	BNST R	55%	Thal_VA R	13%
L3	R-BNST-Hua3	White R	74%	ITP R	74%	Thal_VA R	43%
L4	R-BNST-Hua4	White R	80%	valic or vcvs R	80%	Thal_VA R	87%
L5	R-BNST-Hua5	White R	91%	valic or vcvs R	91%	Thal_VA R	71%
