subject,onset,valence,event_type
sub-cs42,314.48,neutral,event_boundary
sub-cs42,328.52,neutral,event_boundary
sub-cs42,340.76,neutral,event_boundary
sub-cs42,346.2,neutral,event_boundary
sub-cs42,350.0,neutral,event_boundary
sub-cs42,357.84,neutral,event_boundary
sub-cs42,360.0,neutral,event_boundary
sub-cs42,362.56,neutral,event_boundary
sub-cs42,364.92,neutral,event_boundary
sub-cs42,367.76,neutral,event_boundary
sub-cs42,369.44,neutral,event_boundary
sub-cs42,371.64,neutral,event_boundary
sub-cs42,389.64,neutral,event_boundary
sub-cs42,407.88,neutral,event_boundary
sub-cs42,409.72,neutral,event_boundary
sub-cs42,419.04,neutral,event_boundary
sub-cs42,420.24,neutral,event_boundary
sub-cs42,424.36,neutral,event_boundary
sub-cs42,427.64,neutral,event_boundary
sub-cs42,428.72,neutral,event_boundary
sub-cs42,431.52,neutral,event_boundary
sub-cs42,433.48,neutral,event_boundary
sub-cs42,435.0,neutral,event_boundary
sub-cs42,437.52,neutral,event_boundary
sub-cs42,439.6,neutral,event_boundary
sub-cs42,442.28,neutral,event_boundary
sub-cs42,445.24,neutral,event_boundary
sub-cs42,450.04,neutral,event_boundary
sub-cs42,451.4,neutral,event_boundary
sub-cs42,453.04,neutral,event_boundary
sub-cs42,453.88,neutral,event_boundary
sub-cs42,456.44,neutral,event_boundary
sub-cs42,456.96,neutral,event_boundary
sub-cs42,459.32,neutral,event_boundary
sub-cs42,475.44,neutral,event_boundary
sub-cs43,0.0,neutral,event_boundary
sub-cs43,4.72,neutral,event_boundary
sub-cs43,15.0,neutral,event_boundary
sub-cs43,16.72,neutral,event_boundary
sub-cs43,19.08,neutral,event_boundary
sub-cs43,21.72,neutral,event_boundary
sub-cs43,25.08,neutral,event_boundary
sub-cs43,27.08,neutral,event_boundary
sub-cs43,37.64,neutral,event_boundary
sub-cs43,46.16,neutral,event_boundary
sub-cs43,66.28,neutral,event_boundary
sub-cs43,66.8,neutral,event_boundary
sub-cs43,90.16,neutral,event_boundary
sub-cs43,92.72,neutral,event_boundary
sub-cs43,94.88,neutral,event_boundary
sub-cs43,99.32,neutral,event_boundary
sub-cs43,103.64,neutral,event_boundary
sub-cs43,108.28,neutral,event_boundary
sub-cs43,113.44,neutral,event_boundary
sub-cs43,115.0,neutral,event_boundary
sub-cs43,117.96,neutral,event_boundary
sub-cs43,120.0,neutral,event_boundary
sub-cs43,121.88,neutral,event_boundary
sub-cs43,126.52,neutral,event_boundary
sub-cs43,129.2,neutral,event_boundary
sub-cs43,137.56,neutral,event_boundary
sub-cs43,140.36,neutral,event_boundary
sub-cs43,143.36,neutral,event_boundary
sub-cs43,145.24,neutral,event_boundary
sub-cs43,147.88,neutral,event_boundary
sub-cs43,149.4,neutral,event_boundary
sub-cs43,150.76,neutral,event_boundary
sub-cs43,153.4,neutral,event_boundary
sub-cs43,153.92,neutral,event_boundary
sub-cs43,159.08,neutral,event_boundary
sub-cs43,161.16,neutral,event_boundary
sub-cs43,163.08,neutral,event_boundary
sub-cs43,167.28,neutral,event_boundary
sub-cs43,169.04,neutral,event_boundary
sub-cs43,170.68,neutral,event_boundary
sub-cs43,171.84,neutral,event_boundary
sub-cs43,173.48,neutral,event_boundary
sub-cs43,184.92,neutral,event_boundary
sub-cs43,211.6,neutral,event_boundary
sub-cs43,217.48,neutral,event_boundary
sub-cs43,254.24,neutral,event_boundary
sub-cs43,256.12,neutral,event_boundary
sub-cs43,261.6,neutral,event_boundary
sub-cs43,264.84,neutral,event_boundary
sub-cs43,266.68,neutral,event_boundary
sub-cs43,269.24,neutral,event_boundary
sub-cs43,273.04,neutral,event_boundary
sub-cs43,277.28,neutral,event_boundary
sub-cs43,281.28,neutral,event_boundary
sub-cs43,284.56,neutral,event_boundary
sub-cs43,288.76,neutral,event_boundary
sub-cs43,291.44,neutral,event_boundary
sub-cs43,307.88,neutral,event_boundary
sub-cs43,314.48,neutral,event_boundary
sub-cs43,328.52,neutral,event_boundary
sub-cs43,340.76,neutral,event_boundary
sub-cs43,346.2,neutral,event_boundary
sub-cs43,350.0,neutral,event_boundary
sub-cs43,357.84,neutral,event_boundary
sub-cs43,360.0,neutral,event_boundary
sub-cs43,362.56,neutral,event_boundary
sub-cs43,364.92,neutral,event_boundary
sub-cs43,367.76,neutral,event_boundary
sub-cs43,369.44,neutral,event_boundary
sub-cs43,371.64,neutral,event_boundary
sub-cs43,389.64,neutral,event_boundary
sub-cs43,407.88,neutral,event_boundary
sub-cs43,409.72,neutral,event_boundary
sub-cs43,419.04,neutral,event_boundary
sub-cs43,420.24,neutral,event_boundary
sub-cs43,424.36,neutral,event_boundary
sub-cs43,427.64,neutral,event_boundary
sub-cs43,428.72,neutral,event_boundary
sub-cs43,431.52,neutral,event_boundary
sub-cs43,433.48,neutral,event_boundary
sub-cs43,435.0,neutral,event_boundary
sub-cs43,437.52,neutral,event_boundary
sub-cs43,439.6,neutral,event_boundary
sub-cs43,442.28,neutral,event_boundary
sub-cs43,445.24,neutral,event_boundary
sub-cs43,450.04,neutral,event_boundary
sub-cs43,451.4,neutral,event_boundary
sub-cs43,453.04,neutral,event_boundary
sub-cs43,453.88,neutral,event_boundary
sub-cs43,456.44,neutral,event_boundary
sub-cs43,456.96,neutral,event_boundary
sub-cs43,459.32,neutral,event_boundary
sub-cs43,475.44,neutral,event_boundary
sub-cs44,0.0,neutral,event_boundary
sub-cs44,4.72,neutral,event_boundary
sub-cs44,15.0,neutral,event_boundary
sub-cs44,16.72,neutral,event_boundary
sub-cs44,19.08,neutral,event_boundary
sub-cs44,21.72,neutral,event_boundary
sub-cs44,25.08,neutral,event_boundary
sub-cs44,27.08,neutral,event_boundary
sub-cs44,37.64,neutral,event_boundary
sub-cs44,46.16,neutral,event_boundary
sub-cs44,66.28,neutral,event_boundary
sub-cs44,66.8,neutral,event_boundary
sub-cs44,90.16,neutral,event_boundary
sub-cs44,92.72,neutral,event_boundary
sub-cs44,94.88,neutral,event_boundary
sub-cs44,99.32,neutral,event_boundary
sub-cs44,103.64,neutral,event_boundary
sub-cs44,108.28,neutral,event_boundary
sub-cs44,113.44,neutral,event_boundary
sub-cs44,115.0,neutral,event_boundary
sub-cs44,117.96,neutral,event_boundary
sub-cs44,120.0,neutral,event_boundary
sub-cs44,121.88,neutral,event_boundary
sub-cs44,126.52,neutral,event_boundary
sub-cs44,129.2,neutral,event_boundary
sub-cs44,137.56,neutral,event_boundary
sub-cs44,140.36,neutral,event_boundary
sub-cs44,143.36,neutral,event_boundary
sub-cs44,145.24,neutral,event_boundary
sub-cs44,147.88,neutral,event_boundary
sub-cs44,149.4,neutral,event_boundary
sub-cs44,150.76,neutral,event_boundary
sub-cs44,153.4,neutral,event_boundary
sub-cs44,153.92,neutral,event_boundary
sub-cs44,159.08,neutral,event_boundary
sub-cs44,161.16,neutral,event_boundary
sub-cs44,163.08,neutral,event_boundary
sub-cs44,167.28,neutral,event_boundary
sub-cs44,169.04,neutral,event_boundary
sub-cs44,170.68,neutral,event_boundary
sub-cs44,171.84,neutral,event_boundary
sub-cs44,173.48,neutral,event_boundary
sub-cs44,184.92,neutral,event_boundary
sub-cs44,211.6,neutral,event_boundary
sub-cs44,217.48,neutral,event_boundary
sub-cs44,254.24,neutral,event_boundary
sub-cs44,256.12,neutral,event_boundary
sub-cs44,261.6,neutral,event_boundary
sub-cs44,264.84,neutral,event_boundary
sub-cs44,266.68,neutral,event_boundary
sub-cs44,269.24,neutral,event_boundary
sub-cs44,273.04,neutral,event_boundary
sub-cs44,277.28,neutral,event_boundary
sub-cs44,281.28,neutral,event_boundary
sub-cs44,284.56,neutral,event_boundary
sub-cs44,288.76,neutral,event_boundary
sub-cs44,291.44,neutral,event_boundary
sub-cs44,307.88,neutral,event_boundary
sub-cs44,314.48,neutral,event_boundary
sub-cs44,328.52,neutral,event_boundary
sub-cs44,340.76,neutral,event_boundary
sub-cs44,346.2,neutral,event_boundary
sub-cs44,350.0,neutral,event_boundary
sub-cs44,357.84,neutral,event_boundary
sub-cs44,360.0,neutral,event_boundary
sub-cs44,362.56,neutral,event_boundary
sub-cs44,364.92,neutral,event_boundary
sub-cs44,367.76,neutral,event_boundary
sub-cs44,369.44,neutral,event_boundary
sub-cs44,371.64,neutral,event_boundary
sub-cs44,389.64,neutral,event_boundary
sub-cs44,407.88,neutral,event_boundary
sub-cs44,409.72,neutral,event_boundary
sub-cs44,419.04,neutral,event_boundary
sub-cs44,420.24,neutral,event_boundary
sub-cs44,424.36,neutral,event_boundary
sub-cs44,427.64,neutral,event_boundary
sub-cs44,428.72,neutral,event_boundary
sub-cs44,431.52,neutral,event_boundary
sub-cs44,433.48,neutral,event_boundary
sub-cs44,435.0,neutral,event_boundary
sub-cs44,437.52,neutral,event_boundary
sub-cs44,439.6,neutral,event_boundary
sub-cs44,442.28,neutral,event_boundary
sub-cs44,445.24,neutral,event_boundary
sub-cs44,450.04,neutral,event_boundary
sub-cs44,451.4,neutral,event_boundary
sub-cs44,453.04,neutral,event_boundary
sub-cs44,453.88,neutral,event_boundary
sub-cs44,456.44,neutral,event_boundary
sub-cs44,456.96,neutral,event_boundary
sub-cs44,459.32,neutral,event_boundary
sub-cs44,475.44,neutral,event_boundary
sub-cs47,0.0,neutral,event_boundary
sub-cs47,4.72,neutral,event_boundary
sub-cs47,15.0,neutral,event_boundary
sub-cs47,16.72,neutral,event_boundary
sub-cs47,19.08,neutral,event_boundary
sub-cs47,21.72,neutral,event_boundary
sub-cs47,25.08,neutral,event_boundary
sub-cs47,27.08,neutral,event_boundary
sub-cs47,37.64,neutral,event_boundary
sub-cs47,46.16,neutral,event_boundary
sub-cs47,66.28,neutral,event_boundary
sub-cs47,66.8,neutral,event_boundary
sub-cs47,90.16,neutral,event_boundary
sub-cs47,92.72,neutral,event_boundary
sub-cs47,94.88,neutral,event_boundary
sub-cs47,99.32,neutral,event_boundary
sub-cs47,103.64,neutral,event_boundary
sub-cs47,108.28,neutral,event_boundary
sub-cs47,113.44,neutral,event_boundary
sub-cs47,115.0,neutral,event_boundary
sub-cs47,117.96,neutral,event_boundary
sub-cs47,120.0,neutral,event_boundary
sub-cs47,121.88,neutral,event_boundary
sub-cs47,126.52,neutral,event_boundary
sub-cs47,129.2,neutral,event_boundary
sub-cs47,137.56,neutral,event_boundary
sub-cs47,140.36,neutral,event_boundary
sub-cs47,143.36,neutral,event_boundary
sub-cs47,145.24,neutral,event_boundary
sub-cs47,147.88,neutral,event_boundary
sub-cs47,149.4,neutral,event_boundary
sub-cs47,150.76,neutral,event_boundary
sub-cs47,153.4,neutral,event_boundary
sub-cs47,153.92,neutral,event_boundary
sub-cs47,159.08,neutral,event_boundary
sub-cs47,161.16,neutral,event_boundary
sub-cs47,163.08,neutral,event_boundary
sub-cs47,167.28,neutral,event_boundary
sub-cs47,169.04,neutral,event_boundary
sub-cs47,170.68,neutral,event_boundary
sub-cs47,171.84,neutral,event_boundary
sub-cs47,173.48,neutral,event_boundary
sub-cs47,184.92,neutral,event_boundary
sub-cs47,211.6,neutral,event_boundary
sub-cs47,217.48,neutral,event_boundary
sub-cs47,254.24,neutral,event_boundary
sub-cs47,256.12,neutral,event_boundary
sub-cs47,261.6,neutral,event_boundary
sub-cs47,264.84,neutral,event_boundary
sub-cs47,266.68,neutral,event_boundary
sub-cs47,269.24,neutral,event_boundary
sub-cs47,273.04,neutral,event_boundary
sub-cs47,277.28,neutral,event_boundary
sub-cs47,281.28,neutral,event_boundary
sub-cs47,284.56,neutral,event_boundary
sub-cs47,288.76,neutral,event_boundary
sub-cs47,291.44,neutral,event_boundary
sub-cs47,307.88,neutral,event_boundary
sub-cs47,314.48,neutral,event_boundary
sub-cs47,328.52,neutral,event_boundary
sub-cs47,340.76,neutral,event_boundary
sub-cs47,346.2,neutral,event_boundary
sub-cs47,350.0,neutral,event_boundary
sub-cs47,357.84,neutral,event_boundary
sub-cs47,360.0,neutral,event_boundary
sub-cs47,362.56,neutral,event_boundary
sub-cs47,364.92,neutral,event_boundary
sub-cs47,367.76,neutral,event_boundary
sub-cs47,369.44,neutral,event_boundary
sub-cs47,371.64,neutral,event_boundary
sub-cs47,389.64,neutral,event_boundary
sub-cs47,407.88,neutral,event_boundary
sub-cs47,409.72,neutral,event_boundary
sub-cs47,419.04,neutral,event_boundary
sub-cs47,420.24,neutral,event_boundary
sub-cs47,424.36,neutral,event_boundary
sub-cs47,427.64,neutral,event_boundary
sub-cs47,428.72,neutral,event_boundary
sub-cs47,431.52,neutral,event_boundary
sub-cs47,433.48,neutral,event_boundary
sub-cs47,435.0,neutral,event_boundary
sub-cs47,437.52,neutral,event_boundary
sub-cs47,439.6,neutral,event_boundary
sub-cs47,442.28,neutral,event_boundary
sub-cs47,445.24,neutral,event_boundary
sub-cs47,450.04,neutral,event_boundary
sub-cs47,451.4,neutral,event_boundary
sub-cs47,453.04,neutral,event_boundary
sub-cs47,453.88,neutral,event_boundary
sub-cs47,456.44,neutral,event_boundary
sub-cs47,456.96,neutral,event_boundary
sub-cs47,459.32,neutral,event_boundary
sub-cs47,475.44,neutral,event_boundary
sub-cs48,0.0,neutral,event_boundary
sub-cs48,4.72,neutral,event_boundary
sub-cs48,15.0,neutral,event_boundary
sub-cs48,16.72,neutral,event_boundary
